#year	rate
19.23201 114.77013
19.25194 114.80029
19.27187 114.78692
19.29180 114.73641
19.31173 114.65831
19.33165 114.56449
19.35158 114.46798
19.37151 114.38182
19.39144 114.31778
19.41137 114.28534
19.43130 114.29086
19.45123 114.33707
19.47116 114.42292
19.49109 114.54390
19.51102 114.69255
19.53094 114.85937
19.55087 115.03382
19.57080 115.20542
19.59073 115.36481
19.61066 115.50462
19.63059 115.62014
19.65052 115.70963
19.67045 115.77434
19.69038 115.81816
19.71030 115.84701
19.73023 115.86787
19.75016 115.88780
19.77009 115.91276
19.79002 115.94656
19.80995 115.98993
19.82988 116.03976
19.84981 116.08877
19.86974 116.12546
19.88967 116.13440
19.90959 116.09696
19.92952 115.99229
19.94945 115.79855
19.96938 115.49426
19.98931 115.05977
